Datetime,Close,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,in_bull_fvg,in_bear_fvg,recent_low_sweep,recent_high_sweep,setup_bull_sweep_fvg,setup_bear_sweep_fvg,setup_bull_confirmed,setup_bear_confirmed
2026-05-12 15:25:00+00:00,732.3200073242188,0.0,0.0,732.62,732.47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 15:30:00+00:00,732.8699951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 15:35:00+00:00,733.1043090820312,732.49,732.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 15:40:00+00:00,733.530029296875,732.49,732.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 15:45:00+00:00,733.3400268554688,732.49,732.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 15:50:00+00:00,733.1199951171875,732.49,732.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 15:55:00+00:00,732.489990234375,732.49,732.47,733.25,733.225,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 16:00:00+00:00,733.22998046875,732.49,732.47,733.25,733.225,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 16:05:00+00:00,732.780029296875,732.49,732.47,733.25,733.225,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 16:10:00+00:00,733.3499755859375,732.49,732.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 16:15:00+00:00,733.010009765625,732.49,732.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 16:20:00+00:00,732.8400268554688,732.49,732.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 16:25:00+00:00,732.739990234375,732.49,732.47,733.01,733.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 16:30:00+00:00,732.5499877929688,732.49,732.47,733.01,733.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 16:35:00+00:00,732.7999877929688,732.49,732.47,733.01,733.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
